country,year,S,E,H,R_proxy
KOR,2000,2.4616140970727387,2.7214938188576188,6.479721798818957,0.09004052248440564
KOR,2001,2.499141278690289,2.8511749885122737,6.7076238450784835,0.10191151515346629
KOR,2002,2.3707374927888045,2.8729844380201945,6.878816344416645,0.08888096306244175
KOR,2003,2.4851645726811045,3.012898177706749,6.914458502260369,0.09364868387537684
KOR,2004,2.4535784116064114,3.060656341200611,6.99089279927082,0.10429571637005278
KOR,2005,2.4715671364085505,3.154053718573666,7.125583092744125,0.10087095863968622
KOR,2006,2.436669133964753,3.2738246481399726,7.132348521620107,0.1019738943057654
KOR,2007,2.4284346906944076,3.3430593054582993,7.0527544498362404,0.10635714164592704
KOR,2008,2.5063380201972505,3.4312660976469735,7.163879213040805,0.10557570134777179
KOR,2009,2.5702343372933076,3.523297282156671,7.25652424966625,0.13876123527429773
KOR,2010,2.4423188943132104,3.6359112368082425,7.194692763152976,0.12237319188247325
KOR,2011,2.449555531791458,3.7011221789659303,7.225534354996263,0.09470370589700103
KOR,2012,2.426061451650299,3.7430781109195372,7.199161163333727,0.10375237295064912
KOR,2013,2.420220980465925,3.809709606046175,7.359688672096962,0.0759857430705928
KOR,2014,2.406954450447429,3.8865488117572817,7.390530263940241,0.08284000928686655
KOR,2015,2.6554166278988713,3.9694872063765394,7.3889784182846325,0.0811755828056705
KOR,2016,2.854195805857521,3.9959197606899566,7.428914182184513,0.07454765044760278
KOR,2017,2.8186554380173674,4.080189681668386,7.585543767788049,0.05709787058367169
KOR,2018,2.728250177982323,4.245310587739232,7.708667618061317,0.059290351467100655
KOR,2019,2.6848296047193934,4.479400464895839,7.921173434409563,0.05535764258213406
KOR,2020,2.7061897474530734,4.577506626159068,8.072229776041814,0.058582092237452255
KOR,2021,2.5944724234189653,4.742250387999799,8.124995788141979,0.03921315308502538
KOR,2022,2.541062449688577,5.272605222271639,8.43334485058647,0.043006614056438325
JPN,2000,2.9194752308541183,3.523276431459074,6.823951729301183,0.04897958797045625
JPN,2001,2.9927686689728823,3.540688500425842,6.86563806657363,0.05120627623321167
JPN,2002,3.038882354627961,3.563992876301683,6.909157977066865,0.046671916425746376
JPN,2003,2.9973014688497734,3.6353110856138477,6.972084285544491,0.050924884005941966
JPN,2004,2.925765764994807,3.659681561365535,6.9839060311817285,0.05107605713235076
JPN,2005,2.900495797158724,3.6635170266222694,6.957918805509048,0.04402419378553471
JPN,2006,2.8812433158409876,3.673030911043764,6.9204358540621245,0.04097986615285694
JPN,2007,2.846824522510641,3.714248159937529,6.921461535605516,0.03531982922630076
JPN,2008,2.9061674325809035,3.7528709060142185,6.896819914389028,0.045241842548696155
JPN,2009,2.946061080970873,3.908100866697737,7.005153014612126,0.02679768530031306
JPN,2010,2.6309887183131266,4.060604021985528,7.046160221388583,0.021697822536244363
JPN,2011,2.7846934455380588,4.351361551557292,7.02130240192314,0.018873098622893342
JPN,2012,2.6915229830117418,4.331423391596836,6.975369016498216,0.017324061571766858
JPN,2013,2.5483910258132116,4.361250394861853,6.9761145115422565,0.010039332998041207
JPN,2014,2.5102608355023763,4.381938041299331,7.016919986237579,0.013254156183312249
JPN,2015,2.407633813186795,4.3683537618368975,6.96423462084049,0.009324408832162092
JPN,2016,2.501973953384001,4.291541555554807,6.923244247019899,0.009240416753348215
JPN,2017,2.451036149154386,4.313289250069826,6.938997381641293,0.0022425031878465407
JPN,2018,2.5363869038705706,4.320142265492429,6.938345797298389,0.005808472300492518
JPN,2019,2.551697001032568,4.395334756328988,7.048565630566194,0.003990406225802854
JPN,2020,2.5983066471953378,4.490885290386529,7.166575380195714,0.0039896758375340315
JPN,2022,2.4832715836240675,4.753723964271849,7.1893507730351915,0.000707934028983451
DEU,2000,2.691924549925915,4.919731597776885,6.90056468599123,0.22988378038720722
DEU,2001,2.8151914941885217,4.95178122161908,6.974732694094606,0.1938031038417683
DEU,2002,2.926031409751064,4.9937815616257915,6.973987511054972,0.19167657990649628
DEU,2003,3.0717422022824556,5.02133474076629,6.990435499068112,0.17698273581032764
DEU,2004,3.1638275484811653,4.994233357805778,7.002802760446386,0.17994724524371042
DEU,2005,3.3648869525089267,5.038785218674581,7.050391068277264,0.16684440794441022
DEU,2006,3.1521397467871086,5.087171958883531,7.0822765711346465,0.1567648545839878
DEU,2007,3.018960402985351,5.122711707905688,7.085522593422422,0.13809635670374437
DEU,2008,2.86090407111484,5.184568285427694,7.097409961890313,0.1272871055231568
DEU,2009,2.995596180062501,5.373972224790521,7.241712890172262,0.12212162579529222
DEU,2010,2.7140019017796004,5.5447775730594175,7.340928349871476,0.12035205832614412
DEU,2011,2.590391299194412,5.553530818402123,7.342293470465335,0.10944677996024701
DEU,2012,2.669863863650682,5.550512062000358,7.309619529766853,0.09376373057245088
DEU,2013,2.7149525873325366,5.5864533199348685,7.297473512003219,0.09809127694375028
DEU,2014,2.590761461163142,5.624327514686968,7.306312842250726,0.10420581098837203
DEU,2015,2.6259135756212326,5.645090567541815,7.1992408486982455,0.09639650008913753
DEU,2016,2.5495592961261773,5.687054199993927,7.1365713698581645,0.14947808462585987
DEU,2017,2.4961157933203904,5.7647937751168525,7.173775914162861,0.11991040810525376
DEU,2018,2.538865633593545,5.856735700750633,7.208742581583124,0.11463051552579254
DEU,2019,2.545188954509333,5.985591628006496,7.344903335089772,0.08277962606837476
DEU,2020,2.741130435397925,6.305121357951404,7.539528971453223,0.11301652869472359
DEU,2021,2.673137907905104,6.380114237492248,7.397071515768833,0.09630937225361694
DEU,2022,2.6687810969061454,6.312531185413964,7.448312557330091,0.09398843405205731
FRA,2000,3.310854381270552,5.171489389097844,6.936645841379288,0.24573290433477274
FRA,2001,3.164915774962328,5.219623478292717,6.937656314548171,0.24268434066893416
